Episode,Total Reward,Epsilon,Avg Loss
1,4643.51,0.050,0.0625
2,7623.00,0.050,0.0355
3,527.34,0.096,0.0124
4,-321.60,0.050,0.0201
5,901.28,0.050,0.0267
6,904.03,0.050,0.0276
7,96.06,0.050,0.0272
8,939.54,0.050,0.0258
9,743.22,0.060,0.0250
10,383.55,0.072,0.0264
11,338.81,0.167,0.0264
12,306.45,0.118,0.0258
13,240.97,0.170,0.0263
14,2068.34,0.050,0.0263
15,488.70,0.103,0.0264
16,158.32,0.110,0.0248
17,254.79,0.126,0.0257
18,198.15,0.192,0.0248
19,428.27,0.072,0.0242
20,220.24,0.108,0.0249
21,148.80,0.121,0.0228
22,239.97,0.057,0.0172
23,340.69,0.105,0.0146
24,-6.73,0.202,0.0152
25,212.97,0.215,0.0148
26,54.26,0.222,0.0126
27,22.74,0.197,0.0142
28,52.65,0.129,0.0144
29,277.33,0.150,0.0134
30,1.64,0.126,0.0148
31,-108.34,0.050,0.0665
32,1389.03,0.050,0.0430
33,363.37,0.138,0.0426
34,994.52,0.050,0.0413
35,193.47,0.297,0.0429
36,371.17,0.218,0.0408
37,319.95,0.199,0.0401
38,114.01,0.251,0.0413
39,1682.22,0.050,0.0392
40,293.80,0.168,0.0412
41,542.79,0.098,0.0401
42,58.71,0.406,0.0433
43,81.33,0.237,0.0394
44,731.59,0.092,0.0401
45,1469.14,0.050,0.0409
46,357.57,0.086,0.0411
47,61.45,0.299,0.0398
48,81.63,0.279,0.0380
49,622.72,0.088,0.0385
50,267.77,0.183,0.0388
51,613.06,0.064,0.0402
52,260.97,0.207,0.0386
53,378.64,0.113,0.0397
54,71.90,0.351,0.0360
55,242.46,0.247,0.0380
56,335.40,0.186,0.0387
57,412.38,0.050,0.0373
58,765.61,0.050,0.0354
59,199.57,0.251,0.0359
60,273.30,0.151,0.0319
61,188.59,0.050,0.0915
62,583.89,0.121,0.0724
63,290.99,0.101,0.0655
64,246.16,0.118,0.0600
65,118.27,0.314,0.0620
66,869.63,0.050,0.0575
67,219.15,0.124,0.0620
68,407.47,0.141,0.0532
69,55.98,0.203,0.0565
70,51.47,0.200,0.0563
71,562.91,0.120,0.0495
72,81.45,0.116,0.0515
73,266.33,0.134,0.0567
74,171.54,0.157,0.0485
75,716.54,0.054,0.0484
76,246.40,0.217,0.0496
77,82.80,0.060,0.0483
78,245.17,0.062,0.0469
79,320.99,0.050,0.0461
80,15.18,0.322,0.0475
81,1297.58,0.050,0.0478
82,83.99,0.406,0.0449
83,117.24,0.384,0.0536
84,36.03,0.402,0.0551
85,203.56,0.181,0.0462
86,-13.77,0.212,0.0485
87,195.27,0.291,0.0462
88,64.45,0.266,0.0445
89,458.88,0.157,0.0479
90,308.25,0.204,0.0475
91,40.32,0.266,0.1103
92,320.34,0.234,0.0769
93,376.28,0.220,0.0816
94,135.75,0.374,0.0889
95,270.84,0.126,0.0794
96,98.30,0.349,0.0777
97,527.66,0.169,0.0939
98,272.87,0.252,0.0889
99,-556.09,0.050,0.0860
100,169.27,0.297,0.0833
101,158.57,0.050,0.0819
102,585.00,0.060,0.0831
103,204.67,0.265,0.0847
104,225.96,0.184,0.0854
105,58.33,0.469,0.0814
106,1212.35,0.050,0.0946
107,272.36,0.110,0.0946
108,168.59,0.302,0.0876
109,355.30,0.050,0.0990
110,245.10,0.279,0.0949
111,268.77,0.234,0.0953
112,201.77,0.050,0.0895
113,882.17,0.050,0.0774
114,76.92,0.313,0.0740
115,210.96,0.233,0.0651
116,89.29,0.300,0.0699
117,115.63,0.248,0.0562
118,824.69,0.050,0.0735
119,186.39,0.252,0.0765
120,268.95,0.277,0.0715
121,100.66,0.316,0.1636
122,276.88,0.080,0.1222
123,578.71,0.050,0.1103
124,177.90,0.313,0.1114
125,624.17,0.122,0.1166
126,366.21,0.084,0.1020
127,175.05,0.050,0.1070
128,96.18,0.349,0.1139
129,313.68,0.270,0.1211
130,195.74,0.269,0.1056
131,304.82,0.194,0.0864
132,304.67,0.266,0.1000
133,492.79,0.150,0.1295
134,2331.14,0.050,0.1208
135,265.60,0.261,0.1235
136,312.50,0.196,0.1069
137,218.08,0.261,0.1337
138,242.69,0.314,0.1239
139,166.70,0.205,0.1277
140,246.55,0.302,0.1037
141,1485.43,0.050,0.1124
142,207.14,0.324,0.1126
143,284.66,0.253,0.1218
144,147.56,0.230,0.1250
145,243.51,0.230,0.0994
146,76.64,0.347,0.1011
147,179.30,0.353,0.1320
148,183.60,0.300,0.1211
149,902.60,0.077,0.1227
150,458.59,0.124,0.1378
151,524.04,0.169,0.2715
152,31.53,0.460,0.2068
153,1747.53,0.050,0.2128
154,282.83,0.288,0.2174
155,178.92,0.205,0.2124
156,210.37,0.249,0.1953
157,256.26,0.220,0.2686
158,240.09,0.154,0.2357
159,21835.84,0.050,0.6740
160,68.21,0.050,0.3317
161,3.81,0.410,0.3058
162,38.63,0.270,0.3334
163,85.70,0.291,0.3071
164,9764.13,0.050,0.3111
165,3613.94,0.050,0.2999
166,3565.62,0.050,0.2845
167,1587.74,0.050,0.2643
168,53.00,0.455,0.2374
169,287.74,0.231,0.2497
170,75.28,0.204,0.2503
171,3022.83,0.050,0.2342
172,14348.90,0.050,0.2383
173,3534.61,0.050,0.3095
174,320.83,0.050,0.3307
175,373.85,0.227,0.3102
176,261.50,0.270,0.3338
177,57.39,0.128,0.3363
178,299.46,0.165,0.3364
179,1401.96,0.050,0.3179
180,74.60,0.121,0.3232
181,713.69,0.073,0.2832
182,3655.50,0.050,0.2254
183,7633.67,0.050,0.2138
184,6038.34,0.050,0.1709
185,723.69,0.083,0.1482
186,96.20,0.226,0.1120
187,-1.85,0.189,0.1514
188,49.28,0.290,0.1182
189,56.26,0.371,0.1377
190,5271.01,0.050,0.1220
191,101.85,0.406,0.1557
192,245.50,0.290,0.2159
193,44.23,0.346,0.1641
194,245.65,0.253,0.1615
195,285.25,0.176,0.1699
196,109.17,0.192,0.1984
197,363.42,0.125,0.2090
198,216.75,0.330,0.1927
199,46.27,0.293,0.2070
200,1794.22,0.050,0.1987
201,-83.42,0.091,0.1888
202,126.02,0.260,0.1839
203,4667.06,0.050,0.2029
204,175.20,0.299,0.2183
205,27.72,0.390,0.1941
206,56.77,0.464,0.2696
207,-1.16,0.373,0.2028
208,2392.50,0.050,0.2279
209,7129.24,0.050,0.2237
210,8378.75,0.050,0.1946
211,3093.09,0.050,0.1880
212,1924.33,0.050,0.1530
213,684.87,0.068,0.1452
214,321.21,0.236,0.1456
215,467.06,0.102,0.1912
216,168.86,0.303,0.1958
217,50.25,0.325,0.2224
218,520.17,0.092,0.2597
219,638.83,0.118,0.2733
220,596.45,0.157,0.3018
221,228.40,0.171,0.2281
222,4798.48,0.050,0.2324
223,16.91,0.386,0.2461
224,418.92,0.150,0.2195
225,2025.75,0.050,0.2251
226,282.52,0.187,0.1827
227,2760.41,0.050,0.2291
228,446.90,0.210,0.2416
229,5293.29,0.050,0.1972
230,264.65,0.187,0.1793
231,3670.00,0.050,0.1600
232,520.15,0.153,0.1361
233,2911.88,0.050,0.1440
234,1676.47,0.050,0.1320
235,200.21,0.314,0.1217
236,134.46,0.291,0.1643
237,-155.03,0.050,0.1406
238,3630.85,0.050,0.1432
239,206.58,0.255,0.1634
240,1389.66,0.050,0.1730
241,113.40,0.396,0.3197
242,861.81,0.080,0.2063
243,42.07,0.349,0.2359
244,443.90,0.190,0.2458
245,319.52,0.215,0.2659
246,316.46,0.238,0.1968
247,139.92,0.316,0.3221
248,292.04,0.284,0.2106
249,358.25,0.188,0.2197
250,104.30,0.410,0.2614
251,41.83,0.373,0.2548
252,96.79,0.404,0.2596
253,140.59,0.353,0.2274
254,435.91,0.173,0.2500
255,520.80,0.186,0.2509
256,14.17,0.317,0.2449
257,336.28,0.236,0.2834
258,669.41,0.144,0.2895
259,576.29,0.123,0.2769
260,2007.85,0.050,0.3535
261,57.86,0.384,0.3165
262,1850.13,0.050,0.3239
263,2345.05,0.050,0.2954
264,302.69,0.211,0.2667
265,293.47,0.308,0.2585
266,5.27,0.324,0.3056
267,83.05,0.402,0.2309
268,1774.33,0.050,0.3058
269,293.22,0.166,0.2800
270,427.31,0.163,0.3284
